;Item;Patrimônio;Sit. Física;Valor de Aquisição;Valor Bruto Atual;Descrição
;262;00007879;INSERVÍVEL;1180;1180;"IMPRESSORA LASERJET - MARCA: HP - MODELO: LASERJET P2055DN - SERIE: BRBH9DH5B9
"
;263;00007880;INSERVÍVEL;1180;1180;"IMPRESSORA LASERJET - MARCA: HP - MODELO: LASERJET P2055DN - SERIE: BRBH9DH52T
"
;264;00007882;INSERVÍVEL;1180;1180;"IMPRESSORA LASERJET - MARCA: HP - MODELO: LASERJET P2055DN - SERIE: BRBH9DH52X
"
;265;00007886;INSERVÍVEL;1180;1180;"IMPRESSORA LASERJET - MARCA: HP - MODELO: LASERJET P2055DN - SERIE: BRBH9DH52B
"
;266;00007887;INSERVÍVEL;1180;1180;"IMPRESSORA LASERJET - MARCA: HP - MODELO: LASERJET P2055DN - SERIE: BRBH9DH52P
"
;267;00007904;INSERVÍVEL;424;424;"FOGAO TIPO RESIDENCIAL - DESCRICAO: 04 (QUATRO) BOCAS, FORNO AUTOLIMPANTE.
"
;268;00007930;INSERVÍVEL;1034,19;1034,19;"IMPRESSORA MATRICIAL - MARCA: EPSON - MODELO: LQ-590 - SERIE: FSQY152015
"
;269;00007932;INSERVÍVEL;899;899;"PAINEL ELETRONICO - DESCRICAO: DE SENHAS. - SERIE: PS003-0225/V2
"
;270;00007942;INSERVÍVEL;355;355;"CARRO TUBULAR PARA TRANSPORTE DE MATERIAL, 2 RODAS
"
;271;00008054;INSERVÍVEL;86,94;86,94;"APARELHO TELEFONICO SEM FIO - DESCRICAO: TELEFONE SEM FIO [HANDSET]. - MARCA: OREGON - MODELO: OS6014 - SERIE: 0028521411
"
;272;00008059;INSERVÍVEL;86,94;86,94;"APARELHO TELEFONICO SEM FIO - DESCRICAO: TELEFONE SEM FIO [HANDSET]. - MARCA: OREGON - MODELO: OS6014 - SERIE: 0028521416
"
;273;00008084;INSERVÍVEL;399,99;399,99;"NO BREAK . - DESCRICAO: NO BREAK SMS MODELO NETWINNER 1300BI. - MARCA: SMS - MODELO: NW 1300BI
"
;274;00008092;INSERVÍVEL;3650;3650;"MONITOR KVM 17 POLEGADAS COM TECLADO - SERIE: 77336
"
;275;00008111;INSERVÍVEL;217,35;217,35;"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: ESPALDAR MÉDIO, COR PRETA.
"
;276;00008113;INSERVÍVEL;217,35;217,35;"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: ESPALDAR MÉDIO, COR PRETA.
"
;277;00008114;INSERVÍVEL;217,35;217,35;"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: ESPALDAR MÉDIO, COR PRETA.
"
;278;00008117;INSERVÍVEL;217,35;217,35;"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: ESPALDAR MÉDIO, COR PRETA.
"
;279;00008121;INSERVÍVEL;217,35;217,35;"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: ESPALDAR MÉDIO, COR PRETA.
"
;280;00008151;INSERVÍVEL;605,73;605,73;"MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 22"" WIDESCREEN - MARCA: LENOVO - MODELO: THINKVISION L2250P - SERIE: V6-E8944
"
;281;00008186;INSERVÍVEL;1598,16;1598,16;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E7500 (2.93 GHZ), 2 X 2 GB DE RAM, HD 320 GB, DVDRW. - MARCA: LENOVO - MODELO: THINKCENTRE M58 - SERIE: L1BMRDO
"
;282;00008192;INSERVÍVEL;1598,16;1598,16;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E7500 (2.93 GHZ), 2 X 2 GB DE RAM, HD 320 GB, DVDRW. - MARCA: LENOVO - MODELO: THINKCENTRE M58 - SERIE: L1BMRCL
"
;283;00008195;INSERVÍVEL;1598,16;1598,16;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E7500 (2.93 GHZ), 2 X 2 GB DE RAM, HD 320 GB, DVDRW. - MARCA: LENOVO - MODELO: THINKCENTRE M58 - SERIE: L1BMRA2
"
;284;00008201;INSERVÍVEL;1598,16;1598,16;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E7500 (2.93 GHZ), 2 X 2 GB DE RAM, HD 320 GB, DVDRW. - MARCA: LENOVO - MODELO: THINKCENTRE M58 - SERIE: L1BMR9Z
"
