,Item,Patrimônio,,,,Garantia,,,,Modelo,Descrição
,178,6834,,,,09/07/2007 a 02/07/2008,,,,GJ21,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: DE 21.000 BETUS
,179,6837,,,,09/07/2007 a 02/07/2008,,,,GJ21,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: DE 21.000 BETUS
,180,6844,,,,17/08/2007 a 17/08/2008,,,,SPLIT,MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: DE 30.000 BTÚS. CONDENSADORA    SÉRIE-471965
,181,6851,,,,,,,,,BANCADA DE TRABALHO . - DESCRICAO: EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS
,182,6852,,,,,,,,,BANCADA DE TRABALHO . - DESCRICAO: EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS
,183,6854,,,,,,,,,BANCADA DE TRABALHO . - DESCRICAO: EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS
,184,6855,,,,,,,,,BANCADA DE TRABALHO . - DESCRICAO: EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS
,185,6856,,,,,,,,,BANCADA DE TRABALHO . - DESCRICAO: EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS
,186,6857,,,,,,,,,BANCADA DE TRABALHO . - DESCRICAO: EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS
,187,6858,,,,,,,,,BANCADA DE TRABALHO . - DESCRICAO: EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS
,188,6967,,,,,,,,,"CINZEIRO LIXEIRA - DESCRICAO: INOX MEDINDO 0,30 CM DIAMETRO X 0,70 CM ALTURA ."
,189,6968,,,,,,,,,"CINZEIRO LIXEIRA - DESCRICAO: INOX MEDINDO 0,30 CM DIAMETRO X 0,70 CM ALTURA ."
,190,6976,,,,,,,,,BANCADA DE TRABALHO . - DESCRICAO: PARA SUPORTE DE URNAS ELETRÔNICAS
,191,6979,,,,,,,,,BANCADA DE TRABALHO . - DESCRICAO: PARA SUPORTE DE URNAS ELETRÔNICAS
,192,6984,,,,,,,,,BANCADA DE TRABALHO . - DESCRICAO: PARA SUPORTE DE URNAS ELETRÔNICAS
,193,7044,,,,15/04/2008 a 14/04/2009,,,,CT 12,HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE - DESCRICAO: SEM FIO 2.4 GHZ
,194,7045,,,,15/04/2008 a 14/04/2009,,,,CT 12,HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE - DESCRICAO: SEM FIO 2.4 GHZ
,195,7046,,,,15/04/2008 a 14/04/2009,,,,CT 12,HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE - DESCRICAO: SEM FIO 2.4 GHZ
,196,7052,,,,,,,,FAX-575,APARELHO DE FAX - DESCRICAO: PAPEL A4
,197,7053,,,,,,,,700USX,DVD PLAYER - DESCRICAO: COM CONTROLE
,198,7073,,,,15/05/2008 a 15/05/2008,,,,GTE-650,MESA DIGITAL - DESCRICAO: DE 6X8
,199,7079,,,,30/05/2008 a 30/05/2008,,,,,"CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 21.000 BTU´S, TENSÃO 220 V"
,200,7097,,,,20/06/2008 a 16/06/2009,,,,EMP-X5,PROJETOR MULTIMIDIA - DESCRICAO: RESOLUÇÃO NATIVA XGA (1024 X 768)
,201,7102,,,,25/06/2008 a 20/06/2009,,,,G2710,SCANNER DE MESA - DESCRICAO: FOTOGRÁFICO SCANJET
,202,7103,,,,25/06/2008 a 20/06/2009,,,,G2710,SCANNER DE MESA - DESCRICAO: FOTOGRÁFICO SCANJET
,203,7115,,,,15/07/2008 a 09/07/2010,,,,ST-P101A,HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE
,204,7160,,,,31/07/2008 a 11/03/2011,,,,M56K,MODEM . - DESCRICAO: EXTERNO 56K
,205,7185,,,,30/07/2008 a 24/07/2009,,,,,"POLTRONA GIRATORIA EM COURVIM - DESCRICAO: TIPO DIRETOR, COM BRAÇOS, ESPALDAR MÉDIO"
,206,7187,,,,30/07/2008 a 24/07/2009,,,,,"POLTRONA GIRATORIA EM COURVIM - DESCRICAO: COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA"
,207,7191,,,,30/07/2008 a 24/07/2009,,,,,"POLTRONA GIRATORIA EM COURVIM - DESCRICAO: COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA"
,208,7192,,,,30/07/2008 a 24/07/2009,,,,,"POLTRONA GIRATORIA EM COURVIM - DESCRICAO: COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA"
,209,7194,,,,30/07/2008 a 24/07/2009,,,,,"POLTRONA GIRATORIA EM COURVIM - DESCRICAO: COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA"
,210,7215,,,,30/08/2008 a 04/08/2009,,,,ADATTARE,ARMÁRIO ALTO EXECUTIVO  - C/ DUAS PORTAS DE CORRER - DESCRICAO: MEDINDO 90X50X163
,211,7246,,,,15/08/2008 a 15/08/2009,,,,MOBILE,BALCAO DE ATENDIMENTO - EM MDF SOB MEDIDA - DESCRICAO: BALCÃO DE ATENDIMENTO
,212,7248,,,,15/08/2008 a 15/08/2009,,,,MOBILE,SUPORTE SUPORTE PARA CPU - DESCRICAO: SUPORTE PARA CPU
,213,7249,,,,15/08/2008 a 15/08/2009,,,,MOBILE,SUPORTE SUPORTE PARA CPU - DESCRICAO: SUPORTE PARA CPU
,214,7265,,,,30/08/2008 a 05/08/2009,,,,,MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: 30.000 BTUS
,215,7272,,,,10/09/2008 a 10/09/2009,,,,S860,"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: 8.1 MEGAPIXELS, ZOOM ÓPTICO 3X, LCD 2,4"" ."
,216,7273,,,,10/09/2008 a 10/09/2009,,,,S860,"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: 8.1 MEGAPIXELS, ZOOM ÓPTICO 3X, LCD 2,4"" ."
,217,7275,,,,10/09/2008 a 10/09/2009,,,,S860,"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: 8.1 MEGAPIXELS, ZOOM ÓPTICO 3X, LCD 2,4"" ."
,218,7277,,,,10/09/2008 a 10/09/2009,,,,S860,"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: 8.1 MEGAPIXELS, ZOOM ÓPTICO 3X, LCD 2,4"" ."
,219,7279,,,,10/09/2008 a 10/09/2009,,,,S860,"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: 8.1 MEGAPIXELS, ZOOM ÓPTICO 3X, LCD 2,4"" ."
,220,7296,,,,27/02/2008 a 11/01/2009,,,,SPLIT,"MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: MINI-CENTRAL DE AR CONDICIONADO SPLIT, 12.000 BTUS KOS 12 FC-G2B"
,221,7346,,,,13/10/2008 a 10/10/2009,,,,NET4+,NO BREAK . - DESCRICAO: 1.4 KVA.
,222,7393,,,,18/09/2008 a 15/09/2008,,,,THINKCENTRE M57P,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E6750 (2.66 GHZ), 2 GB DE MEMÓRIA RAM , DISCO RÍGIDO 160GB."
,223,7394,,,,18/09/2008 a 15/09/2008,,,,THINKCENTRE M57P,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E6750 (2.66 GHZ), 2 GB DE MEMÓRIA RAM , DISCO RÍGIDO 160GB."
,224,7399,,,,18/09/2008 a 15/09/2008,,,,THINKCENTRE M57P,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E6750 (2.66 GHZ), 2 GB DE MEMÓRIA RAM , DISCO RÍGIDO 160GB."
,225,7402,,,,18/09/2008 a 15/09/2008,,,,THINKCENTRE M57P,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E6750 (2.66 GHZ), 2 GB DE MEMÓRIA RAM , DISCO RÍGIDO 160GB."
,226,7420,,,,07/10/2008 a 01/10/2009,,,,718SWAG-1,"MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: SVGA, 17 POLEGADAS."
,227,7429,,,,07/10/2008 a 01/10/2009,,,,177SA-1,"MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: SVGA, 17 POLEGADAS."
,228,7433,,,,07/10/2008 a 01/10/2009,,,,177SA-1,"MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: SVGA, 17 POLEGADAS."
,229,7454,,,,07/10/2008 a 07/10/2009,,,,,CALCULADORA  ELETRONICA - DESCRICAO: DE MESA COM VISOR E IMPRESSORA.
,230,7488,,,,30/10/2008 a 13/10/2009,,,,6073BA4,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO, 2GB RAM, HD 160 GB, DVD/RW."
,231,7504,,,,30/10/2008 a 13/10/2009,,,,4428-AB1,MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 17 POLEGADAS.
,232,7505,,,,30/10/2008 a 13/10/2009,,,,4428-AB1,MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 17 POLEGADAS.
,233,7558,,,,06/11/2008 a 31/10/2008,,,,,UNIDADE DE BACKUP - DESCRICAO: LTO.
,234,7569,,,,22/12/2008 a 19/12/2009,,,,THINKCENTRE M57P,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E8400 (3.0 GHZ), 2GB RAM, HD 160 GB, DVD/RW"
,235,7573,,,,22/12/2008 a 19/12/2009,,,,THINKCENTRE M57P,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E8400 (3.0 GHZ), 2GB RAM, HD 160 GB, DVD/RW"
,236,7577,,,,22/12/2008 a 19/12/2009,,,,THINKCENTRE M57P,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E8400 (3.0 GHZ), 2GB RAM, HD 160 GB, DVD/RW"
,237,7598,,,,13/03/2009 a 13/03/2010,,,,FAX-575,APARELHO DE FAX
,238,7622,,,,08/06/2009 a 05/11/2009,,,,,DESUMIDIFICADOR DE PAPEL - DESCRICAO: CAPACIDADE 1500 FLS.
,239,7657,,,,17/06/2009 a 17/06/2010,,,,UHF 255,"SISTEMA DE MICROFONES SEM FIO - DESCRICAO: DUPLO, CONTENDO: 01 RECEPTOR (S/N 255080901417) E 02 MICROFONES DE MÃO."
,240,7714,,,,26/10/2009 a 26/10/2010,,,,LM-1600,"LAVADORA  DE ALTA PRESSÃO - DESCRICAO: POTÊNCIA: 1600 W, VAZÃO: 360 L/H."
,241,7808,,,,17/11/2009 a 17/11/2010,,,,BC-98SC,"MOTO BOMBA CENTRIFUGA - DESCRICAO: 1/2CV, MONOFÁSICA, 60HZ."
,242,7809,,,,24/11/2009 a 24/11/2010,,,,MINIMAXI,"CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 12.000 BTUS, 220 V."
,243,7810,,,,24/11/2009 a 24/11/2010,,,,MINIMAXI,"CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 12.000 BTUS, 220 V."
,244,7828,,,,,,,,EGC35B,BEBEDOURO DE AGUA EM AÇO INOX. - DESCRICAO: TIPO COLUNA.
,245,7843,,,,20/01/2010 a 19/01/2013,,,,LASERJET P2055DN,IMPRESSORA LASER - DESCRICAO: MONOCROMÁTICA
,246,7844,,,,20/01/2010 a 19/01/2013,,,,LASERJET P2055DN,IMPRESSORA LASER - DESCRICAO: MONOCROMÁTICA
,247,7845,,,,20/01/2010 a 19/01/2013,,,,LASERJET P2055DN,IMPRESSORA LASER - DESCRICAO: MONOCROMÁTICA
,248,7846,,,,20/01/2010 a 19/01/2013,,,,LASERJET P2055DN,IMPRESSORA LASER - DESCRICAO: MONOCROMÁTICA
,249,7850,,,,20/01/2010 a 19/01/2013,,,,LASERJET P2055DN,IMPRESSORA LASER - DESCRICAO: MONOCROMÁTICA
,250,7852,,,,20/01/2010 a 19/01/2013,,,,LASERJET P2055DN,IMPRESSORA LASER - DESCRICAO: MONOCROMÁTICA
,251,7853,,,,20/01/2010 a 19/01/2013,,,,LASERJET P2055DN,IMPRESSORA LASER - DESCRICAO: MONOCROMÁTICA
,252,7854,,,,20/01/2010 a 11/01/2010,,,,LQ-590,IMPRESSORA MATRICIAL
,253,7856,,,,20/01/2010 a 11/01/2010,,,,LQ-590,IMPRESSORA MATRICIAL
,254,7865,,,,,,,,5140S,"FRAGMENTADORA DE PAPEL - DESCRICAO: FRAGMENTADORA DE PAPEL MARCA EBA, MODELO 5140S."
,255,7869,,,,,,,,LASERJET P2055DN,IMPRESSORA LASERJET
,256,7870,,,,,,,,LASERJET P2055DN,IMPRESSORA LASERJET
,257,7871,,,,,,,,LASERJET P2055DN,IMPRESSORA LASERJET
,258,7872,,,,,,,,LASERJET P2055DN,IMPRESSORA LASERJET
,259,7873,,,,,,,,LASERJET P2055DN,IMPRESSORA LASERJET
,260,7874,,,,,,,,LASERJET P2055DN,IMPRESSORA LASERJET
,261,7878,,,,,,,,LASERJET P2055DN,IMPRESSORA LASERJET
,262,7879,,,,,,,,LASERJET P2055DN,IMPRESSORA LASERJET
,263,7880,,,,,,,,LASERJET P2055DN,IMPRESSORA LASERJET
,264,7882,,,,,,,,LASERJET P2055DN,IMPRESSORA LASERJET
,265,7886,,,,,,,,LASERJET P2055DN,IMPRESSORA LASERJET
,266,7887,,,,,,,,LASERJET P2055DN,IMPRESSORA LASERJET
,267,7904,,,,,,,,,"FOGAO TIPO RESIDENCIAL - DESCRICAO: 04 (QUATRO) BOCAS, FORNO AUTOLIMPANTE."
,268,7930,,,,,,,,LQ-590,IMPRESSORA MATRICIAL
,269,7932,,,,,,,,,PAINEL ELETRONICO - DESCRICAO: DE SENHAS.
,270,7942,,,,,,,,,"CARRO TUBULAR PARA TRANSPORTE DE MATERIAL, 2 RODAS"
,271,8054,,,,,,,,OS6014,APARELHO TELEFONICO SEM FIO - DESCRICAO: TELEFONE SEM FIO [HANDSET].
,272,8059,,,,,,,,OS6014,APARELHO TELEFONICO SEM FIO - DESCRICAO: TELEFONE SEM FIO [HANDSET].
,273,8084,,,,,,,,NW 1300BI,NO BREAK . - DESCRICAO: NO BREAK SMS MODELO NETWINNER 1300BI.
,274,8092,,,,,,,,,MONITOR KVM 17 POLEGADAS COM TECLADO
,275,8111,,,,,,,,,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: ESPALDAR MÉDIO, COR PRETA."
,276,8113,,,,,,,,,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: ESPALDAR MÉDIO, COR PRETA."
,277,8114,,,,,,,,,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: ESPALDAR MÉDIO, COR PRETA."
,278,8117,,,,,,,,,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: ESPALDAR MÉDIO, COR PRETA."
,279,8121,,,,,,,,,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: ESPALDAR MÉDIO, COR PRETA."
,280,8151,,,,,,,,THINKVISION L2250P,"MONITOR LCD - CRISTAL LIQUIDO - DESCRICAO: 22"" WIDESCREEN"
,281,8186,,,,21/08/2010 a 21/08/2013,,,,THINKCENTRE M58,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E7500 (2.93 GHZ), 2 X 2 GB DE RAM, HD 320 GB, DVDRW."
,282,8192,,,,21/08/2010 a 21/08/2013,,,,THINKCENTRE M58,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E7500 (2.93 GHZ), 2 X 2 GB DE RAM, HD 320 GB, DVDRW."
,283,8195,,,,21/08/2010 a 21/08/2013,,,,THINKCENTRE M58,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E7500 (2.93 GHZ), 2 X 2 GB DE RAM, HD 320 GB, DVDRW."
,284,8201,,,,21/08/2010 a 21/08/2013,,,,THINKCENTRE M58,"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO E7500 (2.93 GHZ), 2 X 2 GB DE RAM, HD 320 GB, DVDRW."
,285,8344,,,,,,,,GIGASET C385,"APARELHO TELEFONICO SEM FIO COM HEADSET - DESCRICAO: TELEFONE GIGASET C38H, HEADSET PLANTRONICS."
,286,8347,,,,,,,,GIGASET C385,"APARELHO TELEFONICO SEM FIO COM HEADSET - DESCRICAO: TELEFONE GIGASET C38H, HEADSET PLANTRONICS."
,287,8350,,,,,,,,GIGASET C385,"APARELHO TELEFONICO SEM FIO COM HEADSET - DESCRICAO: TELEFONE GIGASET C38H, HEADSET PLANTRONICS."
,288,8351,,,,,,,,GIGASET C385,"APARELHO TELEFONICO SEM FIO COM HEADSET - DESCRICAO: TELEFONE GIGASET C38H, HEADSET PLANTRONICS."
,289,8352,,,,,,,,GIGASET C385,"APARELHO TELEFONICO SEM FIO COM HEADSET - DESCRICAO: TELEFONE GIGASET C38H, HEADSET PLANTRONICS."
,290,8354,,,,,,,,GIGASET C385,"APARELHO TELEFONICO SEM FIO COM HEADSET - DESCRICAO: TELEFONE GIGASET C38H, HEADSET PLANTRONICS."
,291,8369,,,,,,,,GC-1100,CORTADOR DE GRAMA ELÉTRICO
,292,8370,,,,,,,,,CARRINHO DE MÃO - DESCRICAO: COM CAÇAMBA EM POLIPROPILENO.
,293,8389,,,,,,,,DT02 M5,NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO P8600/2GB/HD 160GB/DVD-RW
,294,8391,,,,,,,,DT02 M5,NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO P8600/2GB/HD 160GB/DVD-RW
,295,8393,,,,,,,,DT02 M5,NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO P8600/2GB/HD 160GB/DVD-RW
,296,8433,,,,,,,,ES70,CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: COR PRATA
,297,8435,,,,,,,,ES70,CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: COR PRATA
,298,8437,,,,,,,,ES70,CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: COR PRATA
,299,8439,,,,,,,,ES70,CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: COR PRATA
,300,8441,,,,,,,,ES70,CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: COR PRATA
,301,8442,,,,,,,,ES70,CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: COR PRATA
,302,8505,,,,,,,,MASTER,"BEBEDOURO DE AGUA TIPO GARRAFAO - DESCRICAO: TIPO COLUNA, EM AÇO INOX."
,303,8521,,,,,,,,MSE1-30CR,"CENTRAL DE AR CONDICIONADO - DESCRICAO: APARELHO DE AR-CONDICIONADO COM CAPACIDADE DE
REFRIGERAÇÃO DE 30.000 BTUS, TENSÃO 110/220V, U.EX. C101261560810A26130005"
,304,8550,,,,,,,,L190HB,"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, COR PRETA."
,305,8552,,,,,,,,L190HB,"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, COR PRETA."
,306,8554,,,,,,,,L190HB,"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, COR PRETA."
,307,8562,,,,,,,,L190HB,"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, COR PRETA."
,308,8563,,,,,,,,L190HB,"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, COR PRETA."
,309,8572,,,,,,,,L190HB,"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, WIDESCREEN."
,310,8581,,,,,,,,L190HB,"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, WIDESCREEN."
,311,8590,,,,,,,,L190HB,"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, WIDESCREEN."
,312,8596,,,,,,,,L190HB,"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, WIDESCREEN."
,313,8613,,,,,,,,L190HB,"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, WIDESCREEN."
,314,8615,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,315,8616,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,316,8617,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,317,8618,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,318,8620,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,319,8621,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,320,8622,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,321,8623,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,322,8625,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,323,8628,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,324,8630,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,325,8633,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,326,8634,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,327,8635,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,328,8636,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,329,8637,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,330,8638,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,331,8641,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,332,8642,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,333,8643,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,334,8644,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,335,8647,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,336,8648,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,337,8649,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,338,8650,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,339,8651,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,340,8652,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,341,8654,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,342,8655,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,343,8657,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,344,8658,,,,31/05/2011 a 31/05/2015,,,,INFOWAY SM 3330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,345,8708,,,,,,,,,"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V."
,346,8711,,,,,,,,,"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V."
,347,8717,,,,,,,,,"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V."
,348,8720,,,,,,,,,"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V."
,349,8723,,,,,,,,,"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V."
,350,8727,,,,,,,,,"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V."
,351,8729,,,,,,,,,"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V."
,352,8737,,,,,,,,,"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V."
,353,8743,,,,,,,,,"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V."
,354,8747,,,,,,,,,"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V."
,355,8769,,,,17/06/2011 a 17/06/2015,,,,I5PE,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,356,8776,,,,17/06/2011 a 17/06/2015,,,,I5PE,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,357,8780,,,,17/06/2011 a 17/06/2015,,,,I5PE,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,358,8789,,,,17/06/2011 a 17/06/2015,,,,I5PE,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
,359,8826,,,,,,,,LQ-590,IMPRESSORA MATRICIAL - DESCRICAO: .
,360,8828,,,,,,,,LQ-590,IMPRESSORA MATRICIAL - DESCRICAO: .
,361,8838,,,,,,,,KOP48FC,"CENTRAL DE AR CONDICIONADO - DESCRICAO: SPLIT, PISO-TETO, 48.000 BTU'S. UN. EXTERNA: C101342370911424130035"
,362,8839,,,,,,,,KOP48FC,"CENTRAL DE AR CONDICIONADO - DESCRICAO: SPLIT, PISO-TETO, 48.000 BTU'S. UN. EXTERNA: C101342370911424130037"
,363,8840,,,,,,,,KOP48FC,"CENTRAL DE AR CONDICIONADO - DESCRICAO: SPLIT, PISO-TETO, 48.000 BTU'S. UN. EXTERNA: C101342370911424130001"
