,Item,Patrimônio,,Nº Antigo,,,,,Descrição,,,Garantia,Marca,,,Modelo,,Série,
,"40,",00002904,,,,,,,BANCO DE ESPERA EM PALHINA - DESCRICAO: C/ 03 LUGARES,,,,CADERODE,,,,,,
,"41,",00002907,,,,,,,BANCO DE ESPERA EM PALHINA - DESCRICAO: C/ 03 LUGARES,,,,CADERODE,,,,,,
,"42,",00003128,,,,,,,"MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: DE LEI, TIPO SECRETÁRIA, C/ 03 GAVETAS, MED. 1,30 X 0,70 X 0,74 M",,,22/06/2001 a 20/06/2002,,,,,,,
,"43,",00003133,,,,,,,"MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: DE LEI, TIPO SECRETARIA C/ 3 GAVETAS MED. 1,30X0,70X0,74M",,,22/06/2001 a 20/06/2002,,,,,,,
,"44,",00003135,,,,,,,"MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: DE LEI, TIPO SECRETÁRIA, C/ 03 GAVETAS, MED. 1,30 X 0,70 X 0,74 M",,,22/06/2001 a 20/06/2002,,,,,,,
,"45,",00003136,,,,,,,"MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: DE LEI, TIPO SECRETÁRIA, C/ 03 GAVETAS, MED. 1,30 X 0,70 X 0,74 M",,,22/06/2001 a 20/06/2002,,,,,,,
,"46,",00003256,,,,,,,PAINEL ELETRONICO - DESCRICAO: COM IMPRESSORA PARA SENHA(SÉRIE: 2499010708419).,,,29/08/2001 a 12/08/2002,,,,,,SMJ010807CODIL-01,
,"47,",00003328,,,,,,,MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: C/ 02 GAVETAS,,,,,,,,,,
,"48,",00003350,,,,,,,MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: TIPO ESCRIVANINHA,,,18/10/2001 a 10/10/2002,,,,,,,
,"49,",00003388,,,,,,,EXTINTOR DE INCENDIO CO2 - DESCRICAO: de 6 k.,,,15/03/2002 a 14/03/2003,,,,,,160P T,
,"50,",00003390,,,,,,,EXTINTOR DE INCENDIO CO2 - DESCRICAO: DE 06 K.,,,15/03/2002 a 14/03/2003,,,,,,N767 T,
,"51,",00003403,,,,,,,GRUPO GERADOR PORTATIL - DESCRICAO: A GASOLINA,,,14/11/2001 a 14/11/2001,COLEMAN,,,65-5000,,85961501,
,"52,",00003449,,,,,,,MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: SPLIT DE 12.000 BTU´S,,,27/12/2001 a 03/11/2001,SPRINGER,,,,,4200B49006,
,"53,",00003513,,,,,,,"ARMARIO PARA COZINHA EM MADEIRA - DESCRICAO: DE LEI, TRABALHADO, C/PRATELEIRAS INTERNAS, MED. 0,50X2,08X0,40M.",,,25/04/2002 a 25/04/2003,,,,,,,
,"54,",00003518,,,,,,,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: DE 30.000BTUS,,,,SPRINGER,,,,,2102B12845,
,"55,",00003528,,,,,,,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 30.000 BTUS 220V,,,13/05/2002 a 13/05/2003,SPRINGER,,,,,1702B25315,
,"56,",00003548,,,,,,,ESTANTE EM MADEIRA - DESCRICAO: DE LEI,,,19/06/2002 a 19/06/2003,,,,,,,
,"57,",00003735,,,,,,,"MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: MEDINDO 1,25MX0,70MX0,74M COM 3 GAVETAS",,,06/09/2002 a 06/09/2002,,,,,,,
,"58,",00003829,,,,,,,HUB-CONCENTRADOR DE COMUNICACAO COM 12 PORTAS - DESCRICAO: CONECTOR 145 110X220,,,14/10/2002 a 07/10/2005,3COM,,,,,0100/LT1G028828,
,"59,",00003870,,,,,,,TELEVISOR EM CORES - DESCRICAO: 29 POLEGADAS/ CONTROLES.,,,23/10/2002 a 23/10/2002,CCE,,,,,00110352,
,"60,",00003871,,,,,,,TELEVISOR EM CORES - DESCRICAO: 29 POLEGADAS/ CONTROLES.,,,23/10/2002 a 23/10/2002,CCE,,,,,00116112,
,"61,",00003876,,,,,,,TELEVISOR EM CORES - DESCRICAO: 29 POLEGADAS/ CONTROLES.,,,23/10/2002 a 23/10/2002,CCE,,,,,00199092,
,"62,",00003901,,,,,,,APARELHO DE VIDEO CASSETE - DESCRICAO: DE 4 CABEÇAS C/ CONTROLE,,,30/10/2002 a 30/10/2003,LG,,,EC-971B,,00892,
,"63,",00003904,,,,,,,APARELHO DE VIDEO CASSETE - DESCRICAO: DE 4 CABEÇAS C/ CONTROLE,,,30/10/2002 a 30/10/2003,LG,,,EC-971B,,000864,
,"64,",00003909,,,,,,,APARELHO DE VIDEO CASSETE - DESCRICAO: DE 4 CABEÇAS C/ CONTROLE,,,30/10/2002 a 30/10/2003,LG,,,EC-971B,,00847,
,"65,",00003911,,,,,,,HUB-CONCENTRADOR DE COMUNICACAO COM 12 PORTAS - DESCRICAO: CONECTOR RJ45,,,30/10/2002 a 30/10/2003,SONY,,,,,0100/LT1G028146,
,"66,",00003913,,,,,,,"ARMARIO ALTO EM ACO - DESCRICAO: COM 2 PORTAS COM PRATELEIRAS INTERNAS REFORÇADAS, MED. APROX. 2.00X0,40X1,00, COR CINZA",,,07/11/2002 a 30/10/2003,WCM,,,,,,
,"67,",00003977,,,,,,,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: DE 30.000 BETUS 220 WATS,,,11/11/2002 a 11/11/2003,SPRINGER,,,,,430B301124,
,"68,",00004013,,,,,,,"SCANNER DE MESA - DESCRICAO: EASYSCAN 450P,19200DPI",,,12/12/2002 a 08/12/2003,NETRIX,,,38BR,,205PX05495,
,"69,",00004038,,,,,,,CPU DO SERVIDOR E SERVER 342 PIII,,,16/01/2003 a 07/02/2005,IBM,,,,,78LVL75,
,"70,",00004039,,,,,,,SWITCH SERVER - DESCRICAO: KVM,,,16/01/2003 a 07/02/2005,IBM,,,,,2309959,
,"71,",00004043,,,,,,,"IMPRESSORA JATO DE TINTA - DESCRICAO: TIPO PLOTTER. PRÓPRIA PARA PARA DESENHOS DE ARQUITETURA, ENGENHARIA E MECÂNICA. MEMÓRIA PADRÃO 16MB. RESOLUÇÃO MÁXIMA 1200 X 600 DPI. DIMENSÕES (LARGURA X ALTURA X PROFUNDIDADE): 1690 X 1100 X 674 MM.",,,22/01/2003 a 13/01/2004,HP,,,500,,SG24532087,
,"72,",00004094,,,,,,,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: COM BRAÇO, COR AZUL",,,04/02/2003 a 22/01/2004,ERGOFLEX,,,5003,,,
,"73,",00004120,,,,,,,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: COM BRAÇO, COR AZUL",,,04/02/2003 a 22/01/2004,ERGOFLEX,,,5003,,,
,"74,",00004124,,,,,,,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: COM BRAÇO, COR AZUL",,,04/02/2003 a 22/01/2004,ERGOFLEX,,,5003,,,
,"75,",00004125,,,,,,,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: COM BRAÇO, COR AZUL",,,04/02/2003 a 22/01/2004,ERGOFLEX,,,5003,,,
,"76,",00004142,,,,,,,"MESA PARA MICROCOMPUTADOR - DESCRICAO: COM TAMPO DE AGLORAMERADO REVEST. EM MELAMINIO C/REG. DE ALT. DA BASE P/TEC., TAMPO MED. 0,90X0,70X0,75M",,,17/02/2003 a 23/01/2004,CADERODE,,,1516,,,
,"77,",00004150,,,,,,,"MESA PARA MICROCOMPUTADOR - DESCRICAO: COM TAMPO DE AGLORAMERADO REVEST. EM MELAMINIO C/REG. DE ALT. DA BASE P/TEC., TAMPO MED. 0,90X0,70X0,75M",,,17/02/2003 a 23/01/2004,CADERODE,,,1516,,,
,"78,",00004158,,,,,,,"MESA PARA MICROCOMPUTADOR - DESCRICAO: COM TAMPO DE AGLORAMERADO REVEST. EM MELAMINIO C/REG. DE ALT. DA BASE P/TEC., TAMPO MED. 0,90X0,70X0,75M",,,17/02/2003 a 23/01/2004,CADERODE,,,1516,,,
,"79,",00004164,,,,,,,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 30.000 BTUS,,,04/02/2003 a 22/01/2004,SPRINGER,,,,,033B10975,
,"80,",00004231,,,,,,,"RACK EM ACO PARA HUB - DESCRICAO: PORTA EM ACRÍLICO, DE PAREDE, PARA HUB DE PORTAS.",,,26/05/2003 a 26/05/2004,,,,,,,
,"81,",00004291,,,,,,,REFRIGERADOR TIPO RESIDENCIAL,,,11/07/2003 a 11/07/2004,CONSUL,,,,,JF3273309,
,"82,",00004299,,,,,,,"ARMARIO SUSPENSO EM MADEIRA - DESCRICAO: EM MADEIRA DE LEI, MEDINDO 0,60X1,51X0,40M",,,,,,,,,,
,"83,",00004311,,,,,,,"MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: EM CURVA COM 6 GAVETAS MEDINDO 1,50X232 CM DE COMPRIMENTO",,,,,,,,,,
,"84,",00004317,,,,,,,"MESA PARA REUNIAO  EM MELAMINIO - DESCRICAO: FORMATO OVAL , MEDINDO 2,30X1,20X0,74M NA CINZA.",,,28/07/2003 a 28/07/2004,,,,,,,
,"85,",00004411,,,,,,,MALETA PARA DOCUMENTOS,,,28/11/2003 a 19/11/2004,PRINCE,,,,,,
,"86,",00004450,,,,,,,"CALCULADORA  PROFISSIONAL DE MESA - DESCRICAO: COM VISOR, FITA E BOBINA, VISOR DE CRISTAL LIQUIDO COM NUMEROS GRANDES, CALCULOS DE PORCENTAGEM",,,11/06/2004 a 09/06/2005,SHARP,,,EL-1801P,,3D063245,
,"87,",00004454,,,,,,,"CALCULADORA  PROFISSIONAL DE MESA - DESCRICAO: COM VISOR, FITA E BOBINA, VISOR DE CRISTAL LIQUIDO COM NUMEROS GRANDES, CALCULOS DE PORCENTAGEM",,,11/06/2004 a 09/06/2005,SHARP,,,EL-1801P,,3D05335Y,
,"88,",00004457,,,,,,,"CALCULADORA  PROFISSIONAL DE MESA - DESCRICAO: COM VISOR, FITA E BOBINA, VISOR DE CRISTAL LIQUIDO COM NUMEROS GRANDES, CALCULOS DE PORCENTAGEM",,,11/06/2004 a 09/06/2005,SHARP,,,EL-1801P,,3D05333Y,
,"89,",00004496,,,,,,,"MESA PARA MICROCOMPUTADOR - DESCRICAO: EM MELAMÍNIO, MEDINDO 1,60 X 0,68 X 0.74 M",,,,,,,,,,
,"90,",00004565,,,,,,,MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: MAÇICA MEDINDO 160X76X74 COM 6 GAVETAS,,,30/06/2004 a 28/06/2005,LUDNA,,,,,,
,"91,",00004633,,,,,,,ARQUIVO EM ACO - DESCRICAO: COM 4 GAVETAS,,,06/07/2004 a 02/07/2005,PANDIM,,,,,,
,"92,",00004647,,,,,,,NO BREAK . - DESCRICAO: 1200 VA NET STATION,,,06/07/2004 a 01/07/2005,SMS,,,,,008399-B,
,"93,",00004659,,,,,,,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 21.000 BTUS,,,07/07/2004 a 07/07/2005,SPRINGER,,,,,S2304B08759,
