Item;Patrimônio;Garantia;Garantia_fim;Marca;Modelo;Série;Modelo;Descrição;
53;3513;25/04/2002 ; 25/04/2003;;;;ARMARIO PARA COZINHA EM MADEIRA ; DE LEI; TRABALHADO; C/PRATELEIRAS INTERNAS; MED 0;50X2;08X0;40M;;
54;3518;;;SPRINGER;;2102B12845;CONDICIONADOR DE AR DE PAREDE ; DE 30000BTUS;
55;3528;13/05/2002 ; 13/05/2003;;SPRINGER;;1702B25315;CONDICIONADOR DE AR DE PAREDE ; 30.000 BTUS 220V
56;3548;19/06/2002 ; 19/06/2003;;;;ESTANTE EM MADEIRA DE LEI;
57;3735;06/09/2002 ; 06/09/2002;;;;MESA PARA ESCRITORIO EM MADEIRA ; MEDINDO 1;25MX0;70MX0;74M COM 3 GAVETAS;;
58;3829;14/10/2002 ; 07/10/2005;;3COM;;HUB-CONCENTRADOR DE COMUNICACAO COM 12 PORTAS ; CONECTOR 145 110X220;
59;3870;23/10/2002 ; 23/10/2002;;CCE;;TELEVISOR EM CORES ; 29 POLEGADAS/ CONTROLES;
60;3871;23/10/2002 ; 23/10/2002;;CCE;;TELEVISOR EM CORES ; 29 POLEGADAS/ CONTROLES;
61;3876;23/10/2002 ; 23/10/2002;;CCE;;TELEVISOR EM CORES ; 29 POLEGADAS/ CONTROLES;
62;3901;30/10/2002 ; 30/10/2003;;LG;EC-971B;APARELHO DE VIDEO CASSETE ; DE 4 CABEÇAS C/ CONTROLE;
63;3904;30/10/2002 ; 30/10/2003;;LG;EC-971B;APARELHO DE VIDEO CASSETE ; DE 4 CABEÇAS C/ CONTROLE;
64;3909;30/10/2002 ; 30/10/2003;;LG;EC-971B;APARELHO DE VIDEO CASSETE ; DE 4 CABEÇAS C/ CONTROLE;
65;3911;30/10/2002 ; 30/10/2003;;SONY;;HUB-CONCENTRADOR DE COMUNICACAO COM 12 PORTAS ; CONECTOR RJ45;
66;3913;07/11/2002 ; 30/10/2003;;WCM;;ARMARIO ALTO EM ACO ; COM 2 PORTAS COM PRATELEIRAS INTERNAS REFORÇADAS; MED APROX 200X0;40X1;00; COR CINZA;;
67;3977;11/11/2002 ; 11/11/2003;;SPRINGER;;CONDICIONADOR DE AR DE PAREDE ; DE 30000 BETUS 220 WATS;
68;4013;12/12/2002 ; 08/12/2003;;NETRIX;38BR;SCANNER DE MESA ; EASYSCAN 450P;19200DPI;;
69;4038;16/01/2003 ; 07/02/2005;;IBM;;CPU DO SERVIDOR E SERVER 342 PIII;;
70;4039;16/01/2003 ; 07/02/2005;;IBM;;SWITCH SERVER ; KVM;
71;4043;22/01/2003 ; 13/01/2004;;HP;500;IMPRESSORA JATO DE TINTA ; TIPO PLOTTER PRÓPRIA PARA PARA DESENHOS DE ARQUITETURA; ENGENHARIA E MECÂNICA MEMÓRIA PADRÃO 16MB RESOLUÇÃO MÁXIMA 1200 X 600 DPI DIMENSÕES (LARGURA X ALTURA X PROFUNDIDADE): 1690 X 1100 X 674 MM;;
72;4094;04/02/2003 ; 22/01/2004;;ERGOFLEX;5003;CADEIRA GIRATORIA EM TECIDO ; COM BRAÇO; COR AZUL;;
73;4120;04/02/2003 ; 22/01/2004;;ERGOFLEX;5003;CADEIRA GIRATORIA EM TECIDO ; COM BRAÇO; COR AZUL;;
74;4124;04/02/2003 ; 22/01/2004;;ERGOFLEX;5003;CADEIRA GIRATORIA EM TECIDO ; COM BRAÇO; COR AZUL;;
75;4125;04/02/2003 ; 22/01/2004;;ERGOFLEX;5003;CADEIRA GIRATORIA EM TECIDO ; COM BRAÇO; COR AZUL;;
76;4142;17/02/2003 ; 23/01/2004;;CADERODE;1516;MESA PARA MICROCOMPUTADOR ; COM TAMPO DE AGLORAMERADO REVEST EM MELAMINIO C/REG DE ALT DA BASE P/TEC; TAMPO MED 0;90X0;70X0;75M;;
77;4150;17/02/2003 ; 23/01/2004;;CADERODE;1516;MESA PARA MICROCOMPUTADOR ; COM TAMPO DE AGLORAMERADO REVEST EM MELAMINIO C/REG DE ALT DA BASE P/TEC; TAMPO MED 0;90X0;70X0;75M;;
78;4158;17/02/2003 ; 23/01/2004;;CADERODE;1516;MESA PARA MICROCOMPUTADOR ; COM TAMPO DE AGLORAMERADO REVEST EM MELAMINIO C/REG DE ALT DA BASE P/TEC; TAMPO MED 0;90X0;70X0;75M;;
79;4164;04/02/2003 ; 22/01/2004;;SPRINGER;;CONDICIONADOR DE AR DE PAREDE ; 30000 BTUS;
80;4231;26/05/2003 ; 26/05/2004;;;;RACK EM ACO PARA HUB ; PORTA EM ACRÍLICO; DE PAREDE; PARA HUB DE PORTAS;;
81;4291;11/07/2003 ; 11/07/2004;;CONSUL;;REFRIGERADOR TIPO RESIDENCIAL;;
82;4299;;;;;;ARMARIO SUSPENSO EM MADEIRA ; EM MADEIRA DE LEI; MEDINDO 0;60X1;51X0;40M;;
83;4311;;;;;;MESA PARA ESCRITORIO EM MADEIRA ; EM CURVA COM 6 GAVETAS MEDINDO 1;50X232 CM DE COMPRIMENTO;;
84;4317;28/07/2003 ; 28/07/2004;;;;MESA PARA REUNIAO  EM MELAMINIO ; FORMATO OVAL ; MEDINDO 2;30X1;20X0;74M NA CINZA;;
85;4411;28/11/2003 ; 19/11/2004;;PRINCE;;MALETA PARA DOCUMENTOS;;
