Item,Patrimônio,Nº Antigo,Garantia,Marca,Modelo,Série,Descrição
290,8354,,,SIEMENS,GIGASET C385,01666DE640,"APARELHO TELEFONICO SEM FIO COM HEADSET - DESCRICAO: TELEFONE GIGASET C38H, HEADSET PLANTRONICS."
291,8369,,,GARTHEN,GC-1100,,CORTADOR DE GRAMA ELÉTRICO
292,8370,,,TRAMONTINA,,,CARRINHO DE MÃO - DESCRICAO: COM CAÇAMBA EM POLIPROPILENO.
293,8389,,,DATEN,DT02 M5,250658,NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO P8600/2GB/HD 160GB/DVD-RW
294,8391,,,DATEN,DT02 M5,250776,NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO P8600/2GB/HD 160GB/DVD-RW
295,8393,,,DATEN,DT02 M5,250711,NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO P8600/2GB/HD 160GB/DVD-RW
296,8433,,,SAMSUNG,ES70,0942C90Z701310R,CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: COR PRATA
297,8435,,,SAMSUNG,ES70,0942C90Z602490Y,CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: COR PRATA
298,8437,,,SAMSUNG,ES70,0942C90Z701350T,CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: COR PRATA
299,8439,,,SAMSUNG,ES70,0942C90Z505124H,CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: COR PRATA
300,8441,,,SAMSUNG,ES70,0942C90Z500773H,CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: COR PRATA
301,8442,,,SAMSUNG,ES70,0942C90Z701096Z,CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: COR PRATA
302,8505,,,LIBELL,MASTER,,"BEBEDOURO DE AGUA TIPO GARRAFAO - DESCRICAO: TIPO COLUNA, EM AÇO INOX."
303,8521,,,MIDEA,MSE1-30CR,C101236701710728120371,"CENTRAL DE AR CONDICIONADO - DESCRICAO: APARELHO DE AR-CONDICIONADO COM CAPACIDADE DE
REFRIGERAÇÃO DE 30.000 BTUS, TENSÃO 110/220V, U.EX. C101261560810A26130005"
304,8550,,,HP,L190HB,,"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, COR PRETA."
305,8552,,,HP,L190HB,,"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, COR PRETA."
306,8554,,,HP,L190HB,,"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, COR PRETA."
307,8562,,,HP,L190HB,,"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, COR PRETA."
308,8563,,,HP,L190HB,,"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, COR PRETA."
309,8572,,,ITAUTEC,L190HB,,"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, WIDESCREEN."
310,8581,,,ITAUTEC,L190HB,,"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, WIDESCREEN."
311,8590,,,ITAUTEC,L190HB,,"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, WIDESCREEN."
312,8596,,,ITAUTEC,L190HB,,"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, WIDESCREEN."
313,8613,,,ITAUTEC,L190HB,,"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, WIDESCREEN."
314,8615,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003007100255,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
315,8616,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003007100076,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
316,8617,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003007000212,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
317,8618,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003006800228,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
318,8620,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003007100337,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
319,8621,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003007000191,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
320,8622,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003006800341,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
321,8623,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003007100339,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
322,8625,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4002739500377,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
323,8628,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003007100338,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
324,8630,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003007100335,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
325,8633,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4002739500388,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
326,8634,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003007000376,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
327,8635,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003006800074,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
328,8636,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003007100330,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
329,8637,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003007100297,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
330,8638,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003007100308,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
331,8641,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003006800183,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
332,8642,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003007000165,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
333,8643,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003007100350,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
334,8644,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003007000389,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
335,8647,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003007100346,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
336,8648,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003007000099,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
337,8649,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003007100155,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
338,8650,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003007000267,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
