DATA;TIPO;NR;PROCEDIMENTO;DESCRIÇÃO: MATERIAL / SERVIÇO / PATRONAL;VALOR;DEFERIDO POR;CODIGO;Unidade;TIPO DE EMPENHO;UNIDADE;OBS;COD;TIPO;OBS
17/01/22;EMP;51;2701-10.2021;Aquisição de água mineral e gás de cozinha - 4ª ZE (gás);645;SAO;20GPC;33903007;ADM MATAUX;SEAD;118;4ZE;estimativo;EMP5164520GPC/33903007-ADM MATAUX-SEAD-118
17/01/22;EMP;54;4509-62.2017;CT 12/2018 - Serviços de manutenção de condicionadores de ar;4000;PRESI;20GPC;33903025;ADM MATMAN;SEAD;121;SEADE;estimativo;EMP54400020GPC/33903025-ADM MATMAN-SEAD-121
17/01/22;EMP;55;4509-62.2017;CT 12/2018 -  Despesa fornecimento de peças;12000;PRESI;20GPC;33903917;IEF MANPRE;SEAD;126;SEADE;estimativo;EMP551200020GPC/33903917-IEF MANPRE-SEAD-126
17/01/22;EMP;56;4509-62.2017;CT 12/2018 - Manutenção bebedouros;2500;PRESI;20GPC;33903917;ADM MANMAQ;SEAD;127;SEADE;estimativo;EMP56250020GPC/33903917-ADM MANMAQ-SEAD-127
17/01/22;EMP;57;2368-70.2021;CT 28/2016 - Links satélites VSAT (comunicação);23059,8;PRESI;20GPC;33904013;TIC COMRED;STI;175;CIE ;global;"EMP5723059;820GPC/33904013-TIC COMRED-STI-175"
17/01/22;EMP;58;2368-70.2021;CT 28/2016 - Links satélites VSAT (locação com garantia);6149,28;PRESI;20GPC;33904013;TIC COMRED;STI;175;CIE ;global;"EMP586149;2820GPC/33904013-TIC COMRED-STI-175"
17/01/22;EMP;94;11-83.2022;"Serviços de encadernação; plastificação; encadernação e impressão";2966,8;SAO;20GPC;33903963;ADM APOIO;SEAD;134;SEADE;estimativo;"EMP942966;820GPC/33903963-ADM APOIO-SEAD-134"
17/01/22;EMP;95;11-83.2022;Aquisição de carimbos e refis de carimbos;3597,5;SAO;20GPC;33903016;ADM APOIO;SEAD;119;SEADE;estimativo;"EMP953597;520GPC/33903016-ADM APOIO-SEAD-119"
17/01/22;EMP;96;11-83.2022;Aquisição de crachás;1000;SAO;20GPC;33903028;ADM MATMAN;SEAD;122;SEADE;estimativo;EMP96100020GPC/33903028-ADM MATMAN-SEAD-122
23/03/22;EMP;130;2115-82.2021;Serviços de Carregadores;105435,8;DG;20GPC;33903701;ADM APOIO;PROTO;109;PROTO;global;"EMP130105435;820GPC/33903701-ADM APOIO-PROTO-109"
17/01/22;EMP;48;358-53.2021;Vigilância Armada - Fórum Eleitoral de Cruzeiro do Sul;116687,27;DG;20GPC;33903703;IEF VIGOST;PROTO;111;PROTO;global;"EMP48116687;2720GPC/33903703-IEF VIGOST-PROTO-111"
17/01/22;EMP;59;2657-08.2018;Correios;5000;SAO;20GPC;33903947;ADM LOGIST;PROTO;112;PROTO;estimativo;EMP59500020GPC/33903947-ADM LOGIST-PROTO-112
18/01/22;EMP;98;118-30.2022;Aquisição de Materiais de Consumo - Limpeza;54686;PRESI;20GPC;33903022;ADM MATAUX;SEALM;147;SEALM;ordinario;EMP985468620GPC/33903022-ADM MATAUX-SEALM-147
20/01/22;EMP;63;121-82.2022;Aquisição de Materiais de Consumo - Copa e Cozinha;3161;SAO;20GPC;33903021;ADM MATAUX;SEALM;146;SEALM;ordinario;EMP63316120GPC/33903021-ADM MATAUX-SEALM-146
18/01/22;EMP;64;122-67.2022;Aquisição de Materiais de Consumo - Cadeado;1000;SAO;20GPC;33903025;ADM MATMAN;SEALM;148;SEALM;ordinario;EMP64100020GPC/33903025-ADM MATMAN-SEALM-148
19/01/22;EMP;65;2029-48.2020;Aquisição de material odontológico;5906,8;SAO;20GPC;999999999;OUTROS;OUTRO;190;SASBEN;estimativo;"EMP655906;820GPC/999999999-OUTROS--190"
18/01/22;INF;12;2361-78.2021;Contratação de empresa para gerenciamento de frota - Combustível 20GP;50000;;20GPC;33903001;ADM MATAUX;SETRAN;155;SETRAN;estimativo;INF125000020GPC/33903001-ADM MATAUX-SETRAN-155
18/01/22;INF;12;2361-78.2021;Contratação de empresa para gerenciamento de frota - Peças 20GP;63000;;20GPC;33903039;ADM MANVEI;SETRAN;156;SETRAN;estimativo;INF126300020GPC/33903039-ADM MANVEI-SETRAN-156
18/01/22;INF;12;2361-78.2021;Contratação de empresa para gerenciamento de frota - Manutenção 20GP;20000;;20GPC;33903919;ADM MANVEI;SETRAN;160;SETRAN;estimativo;INF122000020GPC/33903919-ADM MANVEI-SETRAN-160
18/01/22;INF;12;2361-78.2021;Contratação de empresa para gerenc. de frota - Combustível PLEITOS;139038,98;;PLEIT;33903001;FUN MATAUX;SETRAN;271;SETRAN;estimativo;"INF12139038;98PLEIT/33903001-FUN MATAUX-SETRAN-271"
20/01/22;EMP;67;2014-45.2021;Diferença de repactuação de preços - Motoristas Terceirizados;1113;SAO;20GPC;999999999;OUTROS;OUTRO;190;SETRAN;ordinario;EMP67111320GPC/999999999-OUTROS--190
20/01/22;EMP;69;661-67.2017;Licenciamento anual de veículos;2761,5;SAO;20GPC;33904710;ADM MANVEI;SETRAN;163;SETRAN;ordinario;"EMP692761;520GPC/33904710-ADM MANVEI-SETRAN-163"
20/01/22;EMP;71;1826-86.2020;Manutenção Predial - Capital;266147,88;SAO;20GPC;33903916;IEF MANPRE;SOMI;169;SOMI;estimativo;"EMP71266147;8820GPC/33903916-IEF MANPRE-SOMI-169"
20/01/22;EMP;72;1826-86.2020;Manutenção Predial - Interior;170000;SAO;20GPC;33903916;IEF MANPRE;SOMI;169;SOMI;estimativo;EMP7217000020GPC/33903916-IEF MANPRE-SOMI-169
24/01/22;EMP;75;1827-37.2021;Passagens para servidores;100000;SAO;20GPC;33903301;ADM PASSAG;SETRAN;158;SETRAN;estimativo;EMP7510000020GPC/33903301-ADM PASSAG-SETRAN-158
24/01/22;EMP;76;1827-37.2021;Passagens para membros;60000;SAO;20GPC;33903301;ADM PASMEM;SETRAN;157;SETRAN;estimativo;EMP766000020GPC/33903301-ADM PASMEM-SETRAN-157
17/01/22;EMP;50;9-16.2022;Diárias para servidores;50000;SAO;20GPC;33901414;ADM DIARIA;SEDES;151;SPEO;estimativo;EMP505000020GPC/33901414-ADM DIARIA-SEDES-151
17/01/22;EMP;52;9-16.2022;Diárias para Membros;45000;SAO;20GPC;33901414;ADM DIAMEM;SEDES ;154;SPEO;estimativo;EMP524500020GPC/33901414-ADM DIAMEM-SEDES -154
17/01/22;EMP;53;9-16.2022;Indenização da combustível;10000;SAO;20GPC;999999999;OUTROS;OUTRO;190;SPEO;estimativo;EMP531000020GPC/999999999-OUTROS--190
18/01/22;EMP;60;1538-07.2021;Vigilância Armada - Fórum Eleitoral de Rio Branco - Diurno;78904;SAO;20GPC;33903703;IEF VIGOST;PROTO;111;PROTO;global;EMP607890420GPC/33903703-IEF VIGOST-PROTO-111
18/01/22;EMP;61;1538-07.2021;Vigilância Armada - Fórum Eleitoral de Rio Branco - Noturno;98618;SAO;20GPC;33903703;IEF VIGOST;PROTO;111;PROTO;global;EMP619861820GPC/33903703-IEF VIGOST-PROTO-111
